userid, group99999, temp, 23.78, sample_timestamp, 16:40:01, received timestamp, 13/13:40:07, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:03, received timestamp, 13/13:40:07, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:06, received timestamp, 13/13:40:07, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:09, received timestamp, 13/13:40:21, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:12, received timestamp, 13/13:40:21, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:14, received timestamp, 13/13:40:21, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:17, received timestamp, 13/13:40:21, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:20, received timestamp, 13/13:40:21, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:23, received timestamp, 13/13:40:35, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:26, received timestamp, 13/13:40:35, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:29, received timestamp, 13/13:40:35, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:32, received timestamp, 13/13:40:35, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:35, received timestamp, 13/13:40:35, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:37, received timestamp, 13/13:40:46, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:39, received timestamp, 13/13:40:46, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:41, received timestamp, 13/13:40:46, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:43, received timestamp, 13/13:40:46, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:46, received timestamp, 13/13:40:46, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:48, received timestamp, 13/13:40:59, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:51, received timestamp, 13/13:40:59, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:53, received timestamp, 13/13:40:59, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:55, received timestamp, 13/13:40:59, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:40:58, received timestamp, 13/13:40:59, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:01, received timestamp, 13/13:41:12, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:03, received timestamp, 13/13:41:12, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:06, received timestamp, 13/13:41:12, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:08, received timestamp, 13/13:41:12, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:11, received timestamp, 13/13:41:12, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:14, received timestamp, 13/13:41:26, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:17, received timestamp, 13/13:41:26, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:20, received timestamp, 13/13:41:26, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:22, received timestamp, 13/13:41:26, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:25, received timestamp, 13/13:41:26, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:28, received timestamp, 13/13:41:39, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:31, received timestamp, 13/13:41:39, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:34, received timestamp, 13/13:41:39, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:36, received timestamp, 13/13:41:39, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:39, received timestamp, 13/13:41:39, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:41, received timestamp, 13/13:41:51, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:43, received timestamp, 13/13:41:51, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:46, received timestamp, 13/13:41:51, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:48, received timestamp, 13/13:41:51, Message length, 169
userid, group99999, temp, 23.78, sample_timestamp, 16:41:50, received timestamp, 13/13:41:51, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:23:45, received timestamp, 13/14:23:55, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:23:47, received timestamp, 13/14:23:55, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:23:50, received timestamp, 13/14:23:55, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:23:52, received timestamp, 13/14:23:55, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:23:55, received timestamp, 13/14:23:55, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:23:57, received timestamp, 13/14:24:08, Message length, 169
userid, group99999, temp, 23.37, sample_timestamp, 17:24:00, received timestamp, 13/14:24:08, Message length, 169
